"event_id","ticket_id","occurred_at","event_type","actor_role","assignment_group","state","visibility","note"
"EVT0001","INC001","2026-07-01T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0002","INC001","2026-07-01T13:12:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0003","INC001","2026-07-01T13:13:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0004","INC001","2026-07-01T13:31:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0005","INC001","2026-07-01T13:32:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0006","INC001","2026-07-01T13:37:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0007","INC002","2026-07-01T14:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0008","INC002","2026-07-01T14:08:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0009","INC002","2026-07-01T14:09:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0010","INC002","2026-07-01T14:23:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0011","INC002","2026-07-01T14:24:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0012","INC002","2026-07-01T14:29:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0013","INC003","2026-07-02T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0014","INC003","2026-07-02T13:15:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0015","INC003","2026-07-02T13:16:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0016","INC003","2026-07-02T13:49:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0017","INC003","2026-07-02T13:50:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0018","INC003","2026-07-02T13:55:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0019","REQ001","2026-07-02T14:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0020","REQ001","2026-07-02T14:20:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0021","REQ001","2026-07-02T14:21:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0022","REQ001","2026-07-02T20:00:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0023","REQ001","2026-07-02T20:05:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0024","REQ002","2026-07-03T13:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0025","REQ002","2026-07-03T13:10:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0026","REQ002","2026-07-03T13:11:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0027","REQ002","2026-07-03T18:00:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
"EVT0028","REQ002","2026-07-03T18:05:00Z","Closed","Service Desk system","Service Desk Tier 1","Closed","Internal","Historical portfolio record closed after documented validation."
"EVT0029","REQ003","2026-07-03T15:00:00Z","Opened","Caller","Service Desk Tier 1","New","Public","Fictional caller report recorded for the historical portfolio case."
"EVT0030","REQ003","2026-07-03T15:25:00Z","Acknowledged","Tier 1 analyst","Service Desk Tier 1","In Progress","Public","Tier 1 acknowledged the fictional report and set expectations."
"EVT0031","REQ003","2026-07-03T15:26:00Z","Work note","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Documented observations and the next safe diagnostic step."
"EVT0032","REQ003","2026-07-03T17:09:00Z","First-contact resolution","Tier 1 analyst","Service Desk Tier 1","In Progress","Internal","Resolved in the modeled first support interaction without reassignment."
"EVT0033","REQ003","2026-07-03T17:10:00Z","Resolved","Tier 1 analyst","Service Desk Tier 1","Resolved","Public","Fictional resolution and validation completed."
