external_source_id,legacy_id,record_type,caller_id,short_description,impact,urgency,priority,category,subcategory,final_resolver_group,resolution_state,final_state,opened_at_utc,resolved_at_utc,u_asset_id,u_kb_reference,u_simulation_label
INC001,,Incident,USR001,Forgotten Windows domain password,2-Medium,2-Medium,P3,Account Access,Password,Service Desk Tier 1,Resolved,Closed,2026-07-01T13:00:00Z,2026-07-01T13:32:00Z,NS-LT-001,KB001,SIMULATED PORTFOLIO DATA
INC002,,Incident,USR002,Account locked after repeated sign-in attempts,2-Medium,2-Medium,P3,Account Access,Lockout,Service Desk Tier 1,Resolved,Closed,2026-07-01T14:00:00Z,2026-07-01T14:24:00Z,NS-LT-002,KB002,SIMULATED PORTFOLIO DATA
INC003,,Incident,USR005,Cannot access Finance department folder,2-Medium,2-Medium,P3,Account Access,Group Membership,Service Desk Tier 1,Resolved,Closed,2026-07-02T13:00:00Z,2026-07-02T13:50:00Z,NS-LT-005,KB011,SIMULATED PORTFOLIO DATA
INC007,,Incident,USR006,Repeated MFA prompts in Outlook and Teams,2-Medium,2-Medium,P3,Account Access,MFA,Service Desk Tier 1,Resolved,Closed,2026-07-06T13:00:00Z,2026-07-06T13:45:00Z,NS-LT-006,KB007,SIMULATED PORTFOLIO DATA
INC008,,Incident,USR011,Cannot complete MFA enrollment,2-Medium,2-Medium,P3,Account Access,MFA Enrollment,Service Desk Tier 1,Resolved,Closed,2026-07-06T14:00:00Z,2026-07-06T14:52:00Z,NS-LT-011,KB007,SIMULATED PORTFOLIO DATA
INC009,,Incident,USR008,Unexpected sign-in notification,1-High,1-High,P1,Security,Suspicious Sign-in,Security Operations,Resolved,Closed,2026-07-07T13:00:00Z,2026-07-07T16:30:00Z,NS-LT-008,KB010,SIMULATED PORTFOLIO DATA
INC010,,Incident,USR009,Cannot access internal quality application,2-Medium,2-Medium,P3,Account Access,Application Authentication,Application Support,Resolved,Closed,2026-07-07T14:00:00Z,2026-07-08T13:00:00Z,NS-LT-009,none,SIMULATED PORTFOLIO DATA
INC011,,Incident,USR004,Laptop cannot reach websites,2-Medium,2-Medium,P3,Networking,Connectivity,Service Desk Tier 1,Resolved,Closed,2026-07-08T13:00:00Z,2026-07-08T13:55:00Z,NS-LT-004,KB003,SIMULATED PORTFOLIO DATA
INC012,,Incident,USR002,Internal hostname does not resolve,2-Medium,2-Medium,P3,Networking,DNS,Service Desk Tier 1,Resolved,Closed,2026-07-08T14:00:00Z,2026-07-08T14:46:00Z,NS-LT-002,KB003,SIMULATED PORTFOLIO DATA
INC013,,Incident,USR005,Can ping server IP but not hostname,2-Medium,2-Medium,P3,Networking,DNS Cache,Service Desk Tier 1,Resolved,Closed,2026-07-09T13:00:00Z,2026-07-09T13:48:00Z,NS-LT-005,KB003,SIMULATED PORTFOLIO DATA
INC014,,Incident,USR010,Laptop has a 169.254 address,2-Medium,2-Medium,P3,Networking,DHCP,Service Desk Tier 1,Resolved,Closed,2026-07-09T14:00:00Z,2026-07-09T14:51:00Z,NS-LT-010,KB003,SIMULATED PORTFOLIO DATA
INC015,,Incident,USR012,VPN connects but internal resource fails,1-High,2-Medium,P2,Networking,VPN Routing,Network Operations,Resolved,Closed,2026-07-10T13:00:00Z,2026-07-10T19:00:00Z,NS-LT-012,KB004,SIMULATED PORTFOLIO DATA
INC016,,Incident,USR006,VPN client does not connect,2-Medium,2-Medium,P3,Networking,VPN Client,Service Desk Tier 1,Resolved,Closed,2026-07-10T14:00:00Z,2026-07-10T14:42:00Z,NS-LT-006,KB004,SIMULATED PORTFOLIO DATA
INC017,,Incident,USR011,One approved website will not load,2-Medium,2-Medium,P3,Networking,Browser,Service Desk Tier 1,Resolved,Closed,2026-07-13T13:00:00Z,2026-07-13T14:05:00Z,NS-LT-011,KB003,SIMULATED PORTFOLIO DATA
INC018,,Incident,USR013,Network adapter is disabled,2-Medium,2-Medium,P3,Networking,Adapter,Service Desk Tier 1,Resolved,Closed,2026-07-13T14:00:00Z,2026-07-13T14:25:00Z,NS-LT-013,KB003,SIMULATED PORTFOLIO DATA
INC019,,Incident,USR009,Wi-Fi repeatedly disconnects,2-Medium,2-Medium,P3,Networking,Wireless Stability,Service Desk Tier 1,Resolved,Closed,2026-07-10T15:00:00Z,2026-07-13T18:00:00Z,NS-LT-009,KB003,SIMULATED PORTFOLIO DATA
INC020,,Incident,USR007,Required TCP port fails from office network,1-High,2-Medium,P2,Networking,TCP Port,Network Operations,Resolved,Closed,2026-07-14T13:00:00Z,2026-07-14T20:00:00Z,NS-LT-007,KB003,SIMULATED PORTFOLIO DATA
INC021,,Incident,USR001,Outlook will not open,2-Medium,2-Medium,P3,Microsoft 365,Outlook Startup,Service Desk Tier 1,Resolved,Closed,2026-07-14T14:00:00Z,2026-07-15T13:00:00Z,NS-LT-001,KB006,SIMULATED PORTFOLIO DATA
